pfn,tot_access_count,tlb_hit,tlb_tot_miss,tlb_miss_pt_hit,tlb_miss_pt_miss,tlb_miss_pt_miss_outstand,tlb_miss_pt_miss_pending
524288,2176,0,0,0,0,0,0
524289,2176,0,0,0,0,0,0
524290,2176,0,0,0,0,0,0
524291,2176,0,0,0,0,0,0
524292,2176,0,0,0,0,0,0
524293,2176,0,0,0,0,0,0
524294,2176,0,0,0,0,0,0
524295,2176,0,0,0,0,0,0
524296,2176,0,0,0,0,0,0
524297,2176,0,0,0,0,0,0
524298,2176,0,0,0,0,0,0
524299,2176,0,0,0,0,0,0
524300,2176,0,0,0,0,0,0
524301,2176,0,0,0,0,0,0
524302,2176,0,0,0,0,0,0
524303,2176,0,0,0,0,0,0
524304,2176,0,0,0,0,0,0
524305,2176,0,0,0,0,0,0
524306,2176,0,0,0,0,0,0
524307,2176,0,0,0,0,0,0
524308,2176,0,0,0,0,0,0
524309,2176,0,0,0,0,0,0
524310,2176,0,0,0,0,0,0
524311,2176,0,0,0,0,0,0
524312,2176,0,0,0,0,0,0
524313,2176,0,0,0,0,0,0
524314,2176,0,0,0,0,0,0
524315,2176,0,0,0,0,0,0
524316,2176,0,0,0,0,0,0
524317,2176,0,0,0,0,0,0
524318,2176,0,0,0,0,0,0
524319,2176,0,0,0,0,0,0
524320,2176,0,0,0,0,0,0
524321,2176,0,0,0,0,0,0
524322,2176,0,0,0,0,0,0
524323,2176,0,0,0,0,0,0
524324,2176,0,0,0,0,0,0
524325,2176,0,0,0,0,0,0
524326,2176,0,0,0,0,0,0
524327,2176,0,0,0,0,0,0
524328,2176,0,0,0,0,0,0
524329,2176,0,0,0,0,0,0
524330,2176,0,0,0,0,0,0
524331,2176,0,0,0,0,0,0
524332,2176,0,0,0,0,0,0
524333,2176,0,0,0,0,0,0
524334,2176,0,0,0,0,0,0
524335,2176,0,0,0,0,0,0
524336,2176,0,0,0,0,0,0
524337,2176,0,0,0,0,0,0
524338,2176,0,0,0,0,0,0
524339,2176,0,0,0,0,0,0
524340,2176,0,0,0,0,0,0
524341,2176,0,0,0,0,0,0
524342,2176,0,0,0,0,0,0
524343,2176,0,0,0,0,0,0
524344,2176,0,0,0,0,0,0
524345,2176,0,0,0,0,0,0
524346,2176,0,0,0,0,0,0
524347,2176,0,0,0,0,0,0
524348,2176,0,0,0,0,0,0
524349,2176,0,0,0,0,0,0
524350,2176,0,0,0,0,0,0
524351,2176,0,0,0,0,0,0
524352,2176,0,0,0,0,0,0
524353,2176,0,0,0,0,0,0
524354,2176,0,0,0,0,0,0
524355,2176,0,0,0,0,0,0
524356,2176,0,0,0,0,0,0
524357,2176,0,0,0,0,0,0
524358,2176,0,0,0,0,0,0
524359,2176,0,0,0,0,0,0
524360,2176,0,0,0,0,0,0
524361,2176,0,0,0,0,0,0
524362,2176,0,0,0,0,0,0
524363,2176,0,0,0,0,0,0
524364,2176,0,0,0,0,0,0
524365,2176,0,0,0,0,0,0
524366,2176,0,0,0,0,0,0
524367,2176,0,0,0,0,0,0
524368,2176,0,0,0,0,0,0
524369,2176,0,0,0,0,0,0
