kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
llama2.1.sm_70.ptx 1710 : 51840 518400 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1705 : 51840 311040 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1689 : 51840 311040 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1687 : 51840 14388192 103680 0 0 3240 2160 0 0 
llama2.1.sm_70.ptx 1686 : 51840 466560 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1685 : 51840 1296016 0 2160 2160 0 0 0 0 
llama2.1.sm_70.ptx 1684 : 51840 518400 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1681 : 51840 311040 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1679 : 51840 14667664 103680 0 0 3240 2160 0 0 
llama2.1.sm_70.ptx 1678 : 51840 466560 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1677 : 51840 466560 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1676 : 51840 518400 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1675 : 51840 1296000 0 2160 2160 0 0 0 0 
llama2.1.sm_70.ptx 1674 : 51840 466560 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1673 : 51840 311040 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1672 : 51840 311040 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1669 : 23328 139968 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1756 : 6912 69120 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1751 : 6912 1911376 13824 0 0 432 288 0 0 
llama2.1.sm_70.ptx 1749 : 6912 62208 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1747 : 6912 172800 0 288 288 0 0 0 0 
llama2.1.sm_70.ptx 1739 : 13824 3807824 27648 0 0 864 576 0 0 
llama2.1.sm_70.ptx 1737 : 13824 124416 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1735 : 13824 345600 0 576 576 0 0 0 0 
llama2.1.sm_70.ptx 1734 : 13824 82944 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1856 : 76032 456192 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1854 : 76032 693568 0 0 0 0 0 0 0 
llama2.1.sm_70.ptx 1848 : 76032 684288 0 0 0 0 0 0 0 
