kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ResNet.2.sm_70.ptx 311 : 6242304 944260224 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 310 : 6242304 56349728 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 307 : 6242304 62450336 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 306 : 6242304 37297696 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5847 : 2080768 10403840 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5577 : 2080768 18726912 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5576 : 2080768 10403840 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5573 : 2080768 10403840 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5572 : 2080768 18726912 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5506 : 4730496 42575082 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5497 : 4730496 42577117 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5478 : 4730496 42575883 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5477 : 4730496 47306314 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5476 : 4730496 42578338 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5475 : 4730496 42579665 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5474 : 4730496 42585363 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5473 : 4730496 28388981 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5472 : 4730496 28392614 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5471 : 4730496 47306023 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5470 : 4730496 42590399 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5469 : 4730496 42581011 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5468 : 4730496 42589358 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5467 : 4730496 28399869 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5466 : 4730496 42587596 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5465 : 4730496 42588940 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5464 : 4730496 13422080782 0 0 0 2625344 195072 0 0 
ResNet.2.sm_70.ptx 376 : 6242304 31559296 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5463 : 4730496 208142372 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5462 : 4730496 42574496 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5461 : 4730496 124172600 0 0 0 1910080 195072 0 0 
ResNet.2.sm_70.ptx 5460 : 4730496 428303388 0 0 0 1434846 195072 0 0 
ResNet.2.sm_70.ptx 5459 : 4730496 42574855 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5458 : 4730496 42575013 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5457 : 4730496 47305376 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5456 : 4730496 42574979 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5455 : 4730496 52037459 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5454 : 4730496 47306738 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5453 : 4730496 42576332 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5452 : 4730496 42574609 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5451 : 4730496 42574966 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5450 : 4730496 56700068 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5449 : 4730496 52101971 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5448 : 4730496 47304919 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5447 : 4730496 42575091 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5446 : 4730496 42574500 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5445 : 4730496 42575321 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5444 : 4730496 42574775 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5443 : 4730496 52037528 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5442 : 4730496 47305176 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5441 : 4730496 42574536 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5440 : 4730496 47305068 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5439 : 4730496 42575036 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5438 : 4730496 42574595 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5437 : 4730496 42574608 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5436 : 4730496 28383218 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5435 : 4730496 28383101 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5434 : 4730496 42574473 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5433 : 4730496 42574566 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 345 : 296418 1527608 0 0 0 0 0 0 0 
ResNet.2.sm_70.ptx 5432 : 4730496 28383055 0 0 0 0 0 0 0 
